Period,Data_value,Magnitude
2016.06,475.38,6
2016.09,510.192,6
2016.12,553.505,6
2017.03,463.208,6
2017.06,456.87,6
2017.09,480.246,6
2017.12,527.893,6
2018.03,465.71,6
2018.06,487.025,6
2018.09,493.295,6
2018.12,573.572,6
2019.03,489.24,6
2019.06,506.529,6
2019.09,574.399,6
2019.12,599.842,6
2020.03,507.358,6
2020.06,422.222,6
2020.09,656.503,6
2020.12,632.455,6
2021.03,567.372,6
2021.06,627.305,6
2021.09,586.311,6
2021.12,708.207,6
2022.03,649.739,6
2022.06,667.929,6
2022.09,722.829,6
2022.12,798.179,6
2023.03,716.159,6
2023.06,706.796,6
2023.09,746.323,6
2023.12,719.013,6
2016.06,494.201,6
2016.09,503.006,6
2016.12,506.621,6
2017.03,497.627,6
2017.06,475.488,6
2017.09,472.479,6
2017.12,483.076,6
2018.03,501.143,6
2018.06,507.015,6
2018.09,483.794,6
